invoice_number,customer_name,due_date,total,balance,status,is_emailed,organization
INV-060219,Miller Waste Systems,2025-04-18,606.36,606.36,overdue,True,GoFleet Corporation
INV-060212,6251692 Canada Inc,2025-04-18,94.92,94.92,overdue,True,GoFleet Corporation
INV-060202,Bailey Distribution LLC,2025-04-18,204.0,204.0,overdue,True,GoFleet Corporation
INV-060199,Truck Transfer - Mississauga,2025-04-18,1245.26,1245.26,overdue,True,GoFleet Corporation
INV-060189,Premier Concrete Pumping,2025-04-18,1050.9,1050.9,overdue,True,GoFleet Corporation
INV-060187,Speedy Transport Group Inc.,2025-04-17,36623.02,36623.02,overdue,True,GoFleet Corporation
INV-060186,San Antonio Water System,2025-04-17,1700.0,1700.0,overdue,True,GoFleet Corporation
INV-060179,Speedi Shuttle,2025-04-17,10800.0,10800.0,overdue,True,GoFleet Corporation
INV-060173,Burnbrae Farms - Winnipeg (MB),2025-04-17,463.05,463.05,overdue,True,GoFleet Corporation
INV-060172,City of Moose Jaw,2025-04-17,5978.91,5978.91,overdue,True,GoFleet Corporation
INV-060166,"Scapes, inc",2025-04-16,134.0,134.0,overdue,True,GoFleet Corporation
INV-060162,Speedy Transport Group Inc.,2025-04-16,762.75,762.75,overdue,True,GoFleet Corporation
INV-060160,Miller Waste Systems,2025-04-16,9540.0,9540.0,overdue,True,GoFleet Corporation
INV-060158,City of Summerside,2025-04-16,368.0,368.0,overdue,True,GoFleet Corporation
INV-060157,Maxim Truck & Trailer,2025-04-16,2373.0,2373.0,overdue,True,GoFleet Corporation
INV-060156,Foss National Leasing Ltd.,2025-04-16,218.09,218.09,overdue,True,GoFleet Corporation
INV-060155,Foss National Leasing Ltd.,2025-04-16,195.49,195.49,overdue,True,GoFleet Corporation
INV-060154,Foss National Leasing Ltd.,2025-04-16,1875.8,1875.8,overdue,True,GoFleet Corporation
INV-060153,Foss National Leasing Ltd.,2025-04-16,1691.61,1691.61,overdue,True,GoFleet Corporation
INV-060151,Speedy Transport Group Inc.,2025-04-16,3457.8,3457.8,overdue,True,GoFleet Corporation
INV-060148,Lux Car Hire Corp,2025-04-16,533.15,533.15,overdue,True,GoFleet Corporation
INV-060145,San Antonio Water System,2025-04-16,1120.5,1120.5,overdue,True,GoFleet Corporation
INV-060137,San Antonio Water System,2025-04-16,23576.8,23576.8,overdue,True,GoFleet Corporation
INV-060134,Total Street Maintenance Inc,2025-03-17,2348.14,2348.14,overdue,True,GoFleet Corporation
INV-060128,SKO Logistics,2025-04-15,11.84,11.84,overdue,True,GoFleet Corporation
INV-060114,G&I Logistics,2025-04-15,1585.74,1585.74,overdue,True,GoFleet Corporation
INV-060112,Total Landscape,2025-04-15,692.4,692.4,overdue,True,GoFleet Corporation
INV-060098,Bear Mountain Transport LLC,2025-04-14,23.0,23.0,overdue,True,GoFleet Corporation
INV-060094,Mill Street Brewery,2025-04-14,123.74,123.74,overdue,True,GoFleet Corporation
INV-060093,Guru Road Connections Ltd,2025-04-14,787.61,787.61,overdue,True,GoFleet Corporation
INV-060092,Drewlo Holdings Inc.,2025-04-14,1267.86,1267.86,overdue,True,GoFleet Corporation
INV-060081,Foss National Leasing Ltd.,2025-04-14,24458.85,24458.85,overdue,True,GoFleet Corporation
INV-060078,Beltway Driving Academy,2025-04-14,149.04,149.04,overdue,True,GoFleet Corporation
INV-060073,Larry Potter Magicians,2025-04-14,51.93,51.93,overdue,True,GoFleet Corporation
INV-060072,Parkview Building Supplies,2025-04-14,677.15,677.15,overdue,True,GoFleet Corporation
INV-060056,San Antonio Water System,2025-04-13,440.0,440.0,overdue,True,GoFleet Corporation
INV-060049,Dufferin Peel Catholic District School Board,2025-04-13,361.6,361.6,overdue,True,GoFleet Corporation
INV-059974,San Antonio Water System,2025-04-10,4666.0,4666.0,overdue,True,GoFleet Corporation
INV-059967,Nevada Department of Transportation (NDOT),2025-04-13,72686.25,72686.25,overdue,False,GoFleet Corporation
INV-059943,Ellis Moving & Storage,2025-04-09,204.41,204.41,overdue,True,GoFleet Corporation
INV-059942,"Highland Global, Inc.",2025-04-09,91.53,91.53,overdue,True,GoFleet Corporation
INV-059926,Unique Store Fixtures Ltd,2025-04-09,152.33,152.33,overdue,True,GoFleet Corporation
INV-059924,Guru Road Connections Ltd,2025-04-09,932.4,932.4,overdue,True,GoFleet Corporation
INV-059921,Sydney Airport,2025-04-08,1815.0,1815.0,overdue,True,GoFleet Corporation
INV-059886,Eurcan Int'l Trading & Logistics Co.,2025-04-08,51.93,7.72,overdue,True,GoFleet Corporation
INV-059876,A & A Transport LLC,2025-04-07,252.35,252.35,overdue,True,GoFleet Corporation
INV-059857,Cascades Canada ULC,2025-04-06,5629.42,555.39,overdue,True,GoFleet Corporation
INV-059854,EVERGLADES HARVESTING INC,2025-04-06,350.0,350.0,overdue,True,GoFleet Corporation
INV-059836,Huron Alloys,2025-04-06,237.3,237.3,overdue,True,GoFleet Corporation
INV-059831,Mistic Hauling Inc,2025-04-05,87.15,87.15,overdue,True,GoFleet Corporation
INV-059821,Bins on Wheels,2025-04-05,26.44,26.44,overdue,True,GoFleet Corporation
INV-059810,Miller Waste Systems,2025-04-04,519.8,519.8,overdue,True,GoFleet Corporation
INV-059786,Electrical Contracting,2025-04-04,719.58,719.58,overdue,True,GoFleet Corporation
INV-059754,dnata,2025-03-30,7500.0,7500.0,overdue,False,GoFleet Corporation
INV-059753,dnata,2025-03-30,8640.0,8640.0,overdue,False,GoFleet Corporation
INV-059752,dnata,2025-03-30,4739.55,4739.55,overdue,False,GoFleet Corporation
INV-059751,dnata,2025-03-30,750.0,750.0,overdue,False,GoFleet Corporation
INV-059750,dnata,2025-03-30,11820.0,11820.0,overdue,False,GoFleet Corporation
INV-059748,Freewind Bus Service,2025-04-02,113.0,113.0,overdue,True,GoFleet Corporation
INV-059743,CLK/Carl’s Jr./Jamba Juice,2025-04-02,210.0,210.0,overdue,True,GoFleet Corporation
INV-059720,FNBP 55 LLC,2025-04-01,90.9,90.9,overdue,True,GoFleet Corporation
INV-059698,Hawthorne Foundation Inc.,2025-04-01,490.0,490.0,overdue,True,GoFleet Corporation
