invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-061353,Westmorland Fisheries Ltd.,2025-05-24,169.06,0.0,Stripe,GoFleet Corporation
INV-061347,Blaine Brothers,2025-05-23,550.0,0.0,Stripe,GoFleet Corporation
INV-061346,SMC Towing Group,2025-05-23,525.45,0.0,Stripe,GoFleet Corporation
INV-061341,Canadian Kraft Paper Industries Ltd.,2025-05-23,44.8,0.0,N/A,GoFleet Corporation
INV-058815_,Upper Canada Forestry,2025-03-31,202.27,0.0,N/A,GoFleet Corporation
INV-058856_,Upper Canada Forestry,2025-03-31,437.31,0.0,N/A,GoFleet Corporation
INV-059308_,Upper Canada Forestry,2025-03-31,190.97,0.0,N/A,GoFleet Corporation
INV-061338,Righteous Expediting LLC,2025-05-23,21.0,0.0,Stripe,GoFleet Corporation
INV-061337,Rebar Delta Inc.,2025-05-23,33.9,0.0,Stripe,GoFleet Corporation
INV-061336,FIRST HOME HEALTHCARE,2025-05-23,36.0,0.0,Stripe,GoFleet Corporation
INV-061334,All Florida Rides LLC,2025-05-23,25.75,0.0,Stripe,GoFleet Corporation
INV-061333,Zingo Transport,2025-05-23,23.69,0.0,Stripe,GoFleet Corporation
INV-061331,Billings Construction,2025-05-23,54.24,0.0,Stripe,GoFleet Corporation
INV-061330,R 7 Transport,2025-05-23,36.93,0.0,Stripe,GoFleet Corporation
INV-061327,Fitzsimmons Hospital Services,2025-05-23,2421.53,0.0,Stripe,GoFleet Corporation
INV-061326,Security Dynamics Corp.,2025-05-23,1566.63,0.0,Stripe,GoFleet Corporation
INV-061321,Sun N Fun Pools & Spas,2025-05-23,0.0,0.0,N/A,GoFleet Corporation
INV-061319,Canadian Miles,2025-05-22,30.0,0.0,Stripe,GoFleet Corporation
INV-061316,Allied freight,2025-05-22,71.07,0.0,Stripe,GoFleet Corporation
INV-061315,Exploits Valley Paving LTD,2025-05-22,185.79,0.0,Stripe,GoFleet Corporation
INV-061314,Omistaa Logistics (12231671 Canada Limited),2025-05-22,59.8,0.0,Stripe,GoFleet Corporation
INV-061313,Point Contracting Inc.,2025-04-22,25.99,0.0,Stripe,GoFleet Corporation
INV-061312,Magab Trucking,2025-04-22,28.85,0.0,Stripe,GoFleet Corporation
