invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-010583,GISCAD Limited,2025-04-04,3955.11,0.0,N/A,Zenduit Corporation
INV-010582,LMD Integrated Logistics (USD),2025-04-03,444.0,0.0,N/A,Zenduit Corporation
INV-010581,The Standard Design Group (T-Mobile Client),2025-04-03,96.0,0.0,N/A,Zenduit Corporation
INV-010579,"Advantage Fleet, LLC.",2025-04-03,90.0,0.0,N/A,Zenduit Corporation
INV-010578,SAC Wireless,2025-04-03,600.0,0.0,N/A,Zenduit Corporation
INV-010576,JLRG Consulting (Tel-Sol),2025-04-02,11.5,0.0,N/A,Zenduit Corporation
INV-010575,ENS Transport (T-Mobile Client),2025-04-02,72.0,0.0,N/A,Zenduit Corporation
INV-010574,GA Department of Driver Services,2025-04-02,3738.0,0.0,N/A,Zenduit Corporation
INV-010573,Highland Wireless Services,2025-03-31,145.0,0.0,N/A,Zenduit Corporation
INV-010572,"Geotab, Inc USD",2025-03-31,1356.0,0.0,N/A,Zenduit Corporation
INV-010569,"California Waste Services, LLC(OLD)",2025-03-31,1595.0,0.0,N/A,Zenduit Corporation
INV-010568,Pun Enterprises Incorporated,2025-03-31,36.0,0.0,N/A,Zenduit Corporation
INV-010567,College Hunks Hauling Junk and Moving of Grand Rapids,2025-03-31,260.0,0.0,N/A,Zenduit Corporation
INV-010566,Finger Lakes TC,2025-03-31,125.0,0.0,N/A,Zenduit Corporation
INV-010565,Carbentec (Formerly Titan Innovations),2025-03-31,606.0,0.0,N/A,Zenduit Corporation
INV-010564,Aalto Technologies,2025-03-31,142.3,0.0,N/A,Zenduit Corporation
INV-010563,KELLY TOURS,2025-03-31,420.0,0.0,N/A,Zenduit Corporation
INV-010562,"TrackCam, LLC",2025-03-30,45923.0,0.0,N/A,Zenduit Corporation
INV-010561,VLC,2025-03-30,4366.49,0.0,N/A,Zenduit Corporation
INV-010560,http://www.argosconnected.com,2025-03-30,100.0,0.0,N/A,Zenduit Corporation
INV-010559,"Badia Spices, LLC. (T-Mobile Client)",2025-03-30,432.0,0.0,N/A,Zenduit Corporation
INV-010558,SSC International (T-Mobile Client),2025-03-30,60.0,0.0,N/A,Zenduit Corporation
INV-010557,Financial Technology Solutions International (T-Mobile Customer),2025-03-30,1261.0,0.0,N/A,Zenduit Corporation
INV-010556,GISCAD Jamaica Limited,2025-03-30,384.8,0.0,N/A,Zenduit Corporation
INV-010555,Robert J. Devereaux Corp.,2025-03-30,198.0,0.0,N/A,Zenduit Corporation
INV-010554,Dynasty Communications,2025-03-30,36.0,0.0,N/A,Zenduit Corporation
INV-010553,Dynasty Communications,2025-03-30,738.0,0.0,N/A,Zenduit Corporation
INV-010552,WEX INC,2025-03-30,1352.0,0.0,N/A,Zenduit Corporation
INV-010551,Smart Witness LLC,2025-03-30,8135.0,0.0,N/A,Zenduit Corporation
INV-010550,Traxxis GPS Solutions,2025-03-30,35101.0,0.0,N/A,Zenduit Corporation
INV-010549,"Pat's Offroad, Inc.",2025-03-30,100.0,0.0,N/A,Zenduit Corporation
INV-010548,Metrica Movil,2025-03-30,780.08,0.0,N/A,Zenduit Corporation
INV-010546,Traxxis GPS Solutions,2025-03-29,265.0,0.0,N/A,Zenduit Corporation
INV-010545,"TrackCam, LLC",2025-03-29,4926.0,0.0,N/A,Zenduit Corporation
INV-010543,Velocity Rail Solution,2025-03-29,1405.0,0.0,N/A,Zenduit Corporation
INV-010542,Traxxis GPS Solutions,2025-03-29,265.0,0.0,N/A,Zenduit Corporation
INV-010541,Traxxis GPS Solutions,2025-03-29,279.0,0.0,N/A,Zenduit Corporation
INV-010540,"TrackCam, LLC",2025-03-29,415.0,0.0,N/A,Zenduit Corporation
INV-010539,Trulite Glass and Aluminum Solutions Canada,2025-03-29,149.1,0.0,N/A,Zenduit Corporation
INV-010537,Magic Metals,2025-03-29,240.0,0.0,N/A,Zenduit Corporation
INV-010536,Trulite Glass and Aluminum Solutions,2025-03-29,315.0,0.0,N/A,Zenduit Corporation
INV-010534,Traxxis GPS Solutions,2025-03-29,1675.0,0.0,N/A,Zenduit Corporation
INV-010533,Traxxis GPS Solutions,2025-03-29,265.0,0.0,N/A,Zenduit Corporation
INV-010532,Traxxis GPS Solutions,2025-03-29,279.0,0.0,N/A,Zenduit Corporation
INV-010531,T&J Unlimited Transportation,2025-02-26,106.0,0.0,N/A,Zenduit Corporation
INV-010530,Arias Farms,2025-03-28,50.0,0.0,N/A,Zenduit Corporation
INV-010529,Merrill Steel Inc (Fiix Lead),2025-03-28,72.0,0.0,N/A,Zenduit Corporation
INV-010528,HMR Transportation (T-Mobile Client),2025-03-28,42.0,0.0,N/A,Zenduit Corporation
INV-010527,EAGLEi GPS,2025-03-28,1388.7,0.0,N/A,Zenduit Corporation
INV-010526,EMS Technology Solutions LLC/ Operative IQ,2025-03-28,477.0,0.0,N/A,Zenduit Corporation
INV-010525,"Paper Cuts, Inc. (T-Mobile Customer)",2025-03-27,131.89,0.0,N/A,Zenduit Corporation
INV-010524,Hagerstown Fire Department,2025-03-27,654.57,0.0,N/A,Zenduit Corporation
INV-010523,Administration of Fleets SA de CV,2025-03-27,605.0,0.0,N/A,Zenduit Corporation
INV-010522,Traxxis GPS Solutions,2025-03-26,438.0,0.0,N/A,Zenduit Corporation
INV-010521,Coopers Petroleum (T-Mobile Customer),2025-03-26,219.66,0.0,N/A,Zenduit Corporation
INV-010520,Solugaz Inc (Fiix Client),2025-03-26,238.74,0.0,N/A,Zenduit Corporation
INV-010519,"CAL-STATE AUTO PARTS, INC. (T-Mobile Customer)",2025-03-25,1515.0,0.0,N/A,Zenduit Corporation
INV-010518,H.T. Hackney,2025-03-25,578.55,0.0,N/A,Zenduit Corporation
INV-010517,Premier Truck Group,2025-03-25,3222.2,0.0,N/A,Zenduit Corporation
INV-010516,DeNYSE Signage & Arcitectural Elements,2025-03-25,120.0,0.0,N/A,Zenduit Corporation
INV-010515,DE VRIES TRANSPORT LLC (T-Mobile Customer),2025-03-24,36.0,0.0,N/A,Zenduit Corporation
INV-010514,Pontrelli & Laricchia (T-Mobile Customer),2025-03-24,60.0,0.0,N/A,Zenduit Corporation
INV-010513,Le Groupe ESSA Inc. (Fiix Client),2025-03-24,265.77,0.0,N/A,Zenduit Corporation
INV-010512,Global Plumbing & Fire Supply (T-Mobile Customer),2025-03-24,190.0,0.0,N/A,Zenduit Corporation
INV-010511,DBC Group,2025-03-24,174.02,0.0,N/A,Zenduit Corporation
INV-010510,"Welch Excavation & Utility Company, Inc.",2025-03-24,585.0,0.0,N/A,Zenduit Corporation
INV-010509,The Three C's Properties Inc,2025-03-24,679.5,0.0,N/A,Zenduit Corporation
INV-010508,Trulite Glass and Aluminum Solutions,2025-03-24,7358.0,0.0,N/A,Zenduit Corporation
INV-010507,"Metro Mobile Electronics, LLC",2025-03-23,859.0,0.0,N/A,Zenduit Corporation
INV-010506,Biomedical Waste Disposal (T-Mobile Client),2025-03-23,132.0,0.0,N/A,Zenduit Corporation
INV-010505,Locke Supply (T-Mobile Customer),2025-03-23,1295.0,0.0,N/A,Zenduit Corporation
INV-010504,Hight Logistics (Old T-Mobile Client - Now Verizon ),2025-03-23,312.0,0.0,N/A,Zenduit Corporation
INV-010503,Dynasty Communications,2025-03-23,90.0,0.0,N/A,Zenduit Corporation
INV-010502,"Mobile Fleet Solutions, Inc.",2025-03-23,136.0,0.0,N/A,Zenduit Corporation
INV-010501,McClay's Transportation Ltd.,2025-03-22,612.57,0.0,N/A,Zenduit Corporation
INV-010500,Fleet Shield,2025-03-22,195.0,0.0,N/A,Zenduit Corporation
INV-010498,Henry & Henry Inc.,2025-03-22,336.0,0.0,N/A,Zenduit Corporation
INV-010497,GotPrint,2025-03-22,108.0,0.0,N/A,Zenduit Corporation
INV-010496,Four Seasons Landscape and Property Services,2025-03-21,30.0,0.0,N/A,Zenduit Corporation
INV-010495,iPTT Wireless Solutions,2025-02-19,584.0,0.0,N/A,Zenduit Corporation
INV-010494,Incotec,2025-03-21,174.0,0.0,N/A,Zenduit Corporation
INV-010493,Velocity Rail Solution,2025-03-21,8310.0,0.0,N/A,Zenduit Corporation
INV-010492,Meridith Baer Home (T-Mobile Client),2025-03-20,270.0,0.0,N/A,Zenduit Corporation
INV-010491,Dynasty Communications,2025-03-20,72.0,0.0,N/A,Zenduit Corporation
INV-010490,Track and Talk,2025-03-18,57.0,0.0,N/A,Zenduit Corporation
INV-010489,NY TRANSPORT INC (T-Mobile Client),2025-03-18,30.0,0.0,N/A,Zenduit Corporation
INV-010488,"Midwest Environmental Services, Inc.",2025-03-18,240.0,0.0,N/A,Zenduit Corporation
INV-010487,"Cee Kay Supply, Inc.",2025-03-18,228.0,0.0,N/A,Zenduit Corporation
INV-010486,Advantage Asset Tracking Inc.,2025-03-18,374.26,0.0,N/A,Zenduit Corporation
INV-010485,"Participation House, Markham",2025-03-18,175.15,0.0,N/A,Zenduit Corporation
INV-010484,Miami LNG - FIXX/ Samsara,2025-03-17,20.0,0.0,N/A,Zenduit Corporation
INV-010483,Dynasty Communications,2025-03-17,106.0,0.0,N/A,Zenduit Corporation
INV-010481,Assetflo (Unique Partnership Agreement),2025-03-16,256.82,0.0,N/A,Zenduit Corporation
INV-010480,Assetflo (Unique Partnership Agreement),2025-03-16,153.91,0.0,N/A,Zenduit Corporation
INV-010479,A#1Air,2025-03-16,3335.5,0.0,N/A,Zenduit Corporation
INV-010478,Super Win Enterprises,2025-03-16,90.0,0.0,N/A,Zenduit Corporation
INV-010477,iPTT Wireless Solutions,2025-03-15,620.0,0.0,N/A,Zenduit Corporation
INV-010476,Smart MUBE,2025-02-13,270.0,0.0,N/A,Zenduit Corporation
INV-010475,Port Connect Intermodel,2025-03-15,60.0,0.0,N/A,Zenduit Corporation
INV-010474,"Pro-Vac, LLC (Fiix Customer)",2025-03-15,1614.0,0.0,N/A,Zenduit Corporation
INV-010473,Efficient Fleets,2025-03-14,50.0,0.0,N/A,Zenduit Corporation
INV-010472,Meridith Baer Home (T-Mobile Client),2025-03-14,73.5,0.0,N/A,Zenduit Corporation
INV-010471,"Fleet Nav Systems, LLC.",2025-03-14,171.0,0.0,N/A,Zenduit Corporation
INV-010470,Traxxis GPS Solutions,2025-03-14,105.0,0.0,N/A,Zenduit Corporation
