invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-010525,"Paper Cuts, Inc. (T-Mobile Customer)",2025-03-27,131.89,0.0,paid,N/A,Zenduit Corporation
INV-010524,Hagerstown Fire Department,2025-03-27,654.57,0.0,paid,N/A,Zenduit Corporation
INV-010523,Administration of Fleets SA de CV,2025-03-27,605.0,0.0,paid,N/A,Zenduit Corporation
INV-010522,Traxxis GPS Solutions,2025-03-26,438.0,0.0,paid,N/A,Zenduit Corporation
INV-010521,Coopers Petroleum (T-Mobile Customer),2025-03-26,219.66,0.0,paid,N/A,Zenduit Corporation
INV-010520,Solugaz Inc (Fiix Client),2025-03-26,238.74,0.0,paid,N/A,Zenduit Corporation
INV-010519,"CAL-STATE AUTO PARTS, INC. (T-Mobile Customer)",2025-03-25,1515.0,0.0,paid,N/A,Zenduit Corporation
INV-010518,H.T. Hackney,2025-03-25,578.55,0.0,paid,N/A,Zenduit Corporation
INV-010517,Premier Truck Group,2025-03-25,3222.2,0.0,paid,N/A,Zenduit Corporation
INV-010516,DeNYSE Signage & Arcitectural Elements,2025-03-25,120.0,0.0,paid,N/A,Zenduit Corporation
INV-010515,DE VRIES TRANSPORT LLC (T-Mobile Customer),2025-03-24,36.0,0.0,paid,N/A,Zenduit Corporation
INV-010514,Pontrelli & Laricchia (T-Mobile Customer),2025-03-24,60.0,0.0,paid,N/A,Zenduit Corporation
INV-010513,Le Groupe ESSA Inc. (Fiix Client),2025-03-24,265.77,0.0,paid,N/A,Zenduit Corporation
INV-010512,Global Plumbing & Fire Supply (T-Mobile Customer),2025-03-24,190.0,0.0,paid,N/A,Zenduit Corporation
INV-010511,DBC Group,2025-03-24,174.02,0.0,paid,N/A,Zenduit Corporation
INV-010510,"Welch Excavation & Utility Company, Inc.",2025-03-24,585.0,0.0,paid,N/A,Zenduit Corporation
INV-010509,The Three C's Properties Inc,2025-03-24,679.5,0.0,paid,N/A,Zenduit Corporation
INV-010508,Trulite Glass and Aluminum Solutions,2025-03-24,7358.0,0.0,paid,N/A,Zenduit Corporation
INV-010507,"Metro Mobile Electronics, LLC",2025-03-23,859.0,0.0,paid,N/A,Zenduit Corporation
INV-010506,Biomedical Waste Disposal (T-Mobile Client),2025-03-23,132.0,0.0,paid,N/A,Zenduit Corporation
INV-010505,Locke Supply (T-Mobile Customer),2025-03-23,1295.0,0.0,paid,N/A,Zenduit Corporation
INV-010504,Hight Logistics (Old T-Mobile Client - Now Verizon ),2025-03-23,312.0,0.0,paid,N/A,Zenduit Corporation
INV-010503,Dynasty Communications,2025-03-23,90.0,0.0,paid,N/A,Zenduit Corporation
INV-010502,"Mobile Fleet Solutions, Inc.",2025-03-23,136.0,0.0,paid,N/A,Zenduit Corporation
INV-010501,McClay's Transportation Ltd.,2025-03-22,612.57,0.0,paid,N/A,Zenduit Corporation
INV-010500,Fleet Shield,2025-03-22,195.0,0.0,paid,N/A,Zenduit Corporation
INV-010499,QSAC Inc,2025-03-22,2108.0,2108.0,overdue,N/A,Zenduit Corporation
INV-010498,Henry & Henry Inc.,2025-03-22,336.0,0.0,paid,N/A,Zenduit Corporation
INV-010497,GotPrint,2025-03-22,108.0,0.0,paid,N/A,Zenduit Corporation
INV-010496,Four Seasons Landscape and Property Services,2025-03-21,30.0,0.0,paid,N/A,Zenduit Corporation
INV-010495,iPTT Wireless Solutions,2025-02-19,584.0,0.0,paid,N/A,Zenduit Corporation
INV-010494,Incotec,2025-03-21,174.0,0.0,paid,N/A,Zenduit Corporation
INV-010493,Velocity Rail Solution,2025-03-21,8310.0,0.0,paid,N/A,Zenduit Corporation
INV-010492,Meridith Baer Home (T-Mobile Client),2025-03-20,270.0,0.0,paid,N/A,Zenduit Corporation
INV-010491,Dynasty Communications,2025-03-20,72.0,0.0,paid,N/A,Zenduit Corporation
INV-010490,Track and Talk,2025-03-18,57.0,0.0,paid,N/A,Zenduit Corporation
INV-010489,NY TRANSPORT INC (T-Mobile Client),2025-03-18,30.0,0.0,paid,N/A,Zenduit Corporation
INV-010488,"Midwest Environmental Services, Inc.",2025-03-18,240.0,0.0,paid,N/A,Zenduit Corporation
INV-010487,"Cee Kay Supply, Inc.",2025-03-18,228.0,0.0,paid,N/A,Zenduit Corporation
INV-010486,Advantage Asset Tracking Inc.,2025-03-18,374.26,0.0,paid,N/A,Zenduit Corporation
INV-010485,"Participation House, Markham",2025-03-18,175.15,0.0,paid,N/A,Zenduit Corporation
INV-010484,Miami LNG - FIXX/ Samsara,2025-03-17,20.0,0.0,paid,N/A,Zenduit Corporation
INV-010483,Dynasty Communications,2025-03-17,106.0,0.0,paid,N/A,Zenduit Corporation
INV-010482,"Kenworth Northeast Group, Inc.",2025-03-17,1370.0,1370.0,overdue,N/A,Zenduit Corporation
INV-010481,Assetflo (Unique Partnership Agreement),2025-03-16,256.82,0.0,paid,N/A,Zenduit Corporation
INV-010480,Assetflo (Unique Partnership Agreement),2025-03-16,153.91,0.0,paid,N/A,Zenduit Corporation
INV-010479,A#1Air,2025-03-16,3335.5,0.0,paid,N/A,Zenduit Corporation
INV-010478,Super Win Enterprises,2025-03-16,90.0,0.0,paid,N/A,Zenduit Corporation
INV-010477,iPTT Wireless Solutions,2025-03-15,620.0,0.0,paid,N/A,Zenduit Corporation
INV-010476,Smart MUBE,2025-02-13,270.0,0.0,paid,N/A,Zenduit Corporation
INV-010475,Port Connect Intermodel,2025-03-15,60.0,0.0,paid,N/A,Zenduit Corporation
